target,surrogate,bulk_R2,bulk_coincident_recovery,bulk,coincident count,bin_r2,bin_target/surrogate_ratio,bin_coincident_recovery
BR2-K003,BR2-K017,0.80791092,0.366284371,all,15851,0.813830658,0.910763473,0.362101656
BR2-K003,BR2-K010,0.802870325,0.365898569,all,16076,0.82811521,1.001692016,0.367241576
BR2-K003,BR2-K010,0.802870325,0.365898569,all,16076,0.82811521,1.001692016,0.367241576
BR2-K003,BR2-K015,0.79828509,0.525024551,all,22343,0.811337448,0.976637429,0.510405483
BR2-K003,BR2-K015,0.79828509,0.525024551,all,22343,0.811337448,0.976637429,0.510405483
BR2-K004,BR2-K005,0.931082365,0.547488777,all,31220,0.931082365,1.015546797,0.547488777
BR2-K004,BR2-K005,0.931082365,0.547488777,all,31220,0.931082365,1.015546797,0.547488777
BR2-K004,BR2-K003,0.913598071,0.570321268,all,24581,0.917162391,1.010269583,0.561530554
BR2-K004,BR2-K003,0.913598071,0.570321268,all,24581,0.917162391,1.010269583,0.561530554
BR2-K004,BR2-K002,0.902924715,0.594223485,all,33885,0.902924715,1.05780242,0.594223485
BR2-K004,BR2-K002,0.902924715,0.594223485,all,33885,0.902924715,1.05780242,0.594223485
BR2-K004,BR2-K006,0.859287406,0.391536897,all,22327,0.859287406,1.03403052,0.391536897
BR2-K004,BR2-K006,0.859287406,0.391536897,all,22327,0.859287406,1.03403052,0.391536897
BR2-K004,BR2-K014,0.851282819,0.427171016,all,24359,0.851282819,0.972488987,0.427171016
BR2-K004,BR2-K014,0.851282819,0.427171016,all,24359,0.851282819,0.972488987,0.427171016
BR2-K004,BR2-K009,0.851157389,0.305538019,all,17423,0.851157389,1.019531884,0.305538019
BR2-K004,BR2-K009,0.851157389,0.305538019,all,17423,0.851157389,1.019531884,0.305538019
BR2-K004,BR2-K012,0.815553339,0.564902497,all,27265,0.82285237,1.004907177,0.565206576
BR2-K004,BR2-K012,0.815553339,0.564902497,all,27265,0.82285237,1.004907177,0.565206576
BR2-K004,BR2-K001,0.805189722,0.527532267,all,17887,0.90691882,1.01545069,0.507001134
BR2-K004,BR2-K001,0.805189722,0.527532267,all,17887,0.90691882,1.01545069,0.507001134
BR2-K004,BR2-K013,0.804787812,0.523674242,all,29862,0.804787812,1.023929566,0.523674242
BR2-K004,BR2-K013,0.804787812,0.523674242,all,29862,0.804787812,1.023929566,0.523674242
BR2-K004,BR2-K015,0.802557961,0.545279181,all,31094,0.802557961,0.989354635,0.545279181
BR2-K004,BR2-K015,0.802557961,0.545279181,all,31094,0.802557961,0.989354635,0.545279181
BR2-K005,BR2-K004,0.931082365,0.547488777,all,31220,0.931082365,0.984691206,0.547488777
BR2-K005,BR2-K004,0.931082365,0.547488777,all,31220,0.931082365,0.984691206,0.547488777
BR2-K005,BR2-K003,0.920159225,0.58026445,all,25419,0.928618573,0.992956245,0.580673901
BR2-K005,BR2-K003,0.920159225,0.58026445,all,25419,0.928618573,0.992956245,0.580673901
BR2-K005,BR2-K002,0.910983447,0.511275954,all,29155,0.910983447,1.039694834,0.511275954
BR2-K005,BR2-K002,0.910983447,0.511275954,all,29155,0.910983447,1.039694834,0.511275954
BR2-K005,BR2-K006,0.881536958,0.47178381,all,26903,0.881536958,1.025272691,0.47178381
BR2-K005,BR2-K006,0.881536958,0.47178381,all,26903,0.881536958,1.025272691,0.47178381
BR2-K005,BR2-K009,0.871605298,0.416123036,all,23729,0.871605298,1.025582676,0.416123036
BR2-K005,BR2-K009,0.871605298,0.416123036,all,23729,0.871605298,1.025582676,0.416123036
BR2-K005,BR2-K012,0.855873923,0.608024691,all,29475,0.865002731,0.982649604,0.611020129
BR2-K005,BR2-K012,0.855873923,0.608024691,all,29475,0.865002731,0.982649604,0.611020129
BR2-K005,BR2-K014,0.850862713,0.531337682,all,30299,0.850862713,0.989949753,0.531337682
BR2-K005,BR2-K014,0.850862713,0.531337682,all,30299,0.850862713,0.989949753,0.531337682
BR2-K005,BR2-K015,0.839570896,0.579685746,all,33056,0.839570896,0.97562966,0.579685746
BR2-K005,BR2-K015,0.839570896,0.579685746,all,33056,0.839570896,0.97562966,0.579685746
BR2-K005,BR2-K017,0.837284124,0.343785073,all,19604,0.837284124,0.901271352,0.343785073
BR2-K005,BR2-K017,0.837284124,0.343785073,all,19604,0.837284124,0.901271352,0.343785073
BR2-K005,BR2-K013,0.827940332,0.579527918,all,33047,0.827940332,1.020191537,0.579527918
BR2-K005,BR2-K013,0.827940332,0.579527918,all,33047,0.827940332,1.020191537,0.579527918
BR2-K006,BR2-K009,0.889919212,0.316165123,all,18029,0.889919212,0.962678411,0.316165123
BR2-K006,BR2-K009,0.889919212,0.316165123,all,18029,0.889919212,0.962678411,0.316165123
BR2-K006,BR2-K011,0.889379971,0.124421296,all,7095,0.889379971,0.990701762,0.124421296
BR2-K006,BR2-K011,0.889379971,0.124421296,all,7095,0.889379971,0.990701762,0.124421296
BR2-K006,BR2-K015,0.885072954,0.39828844,all,22712,0.885072954,0.900501227,0.39828844
BR2-K006,BR2-K015,0.885072954,0.39828844,all,22712,0.885072954,0.900501227,0.39828844
BR2-K006,BR2-K005,0.881536958,0.47178381,all,26903,0.881536958,0.975350274,0.47178381
BR2-K006,BR2-K005,0.881536958,0.47178381,all,26903,0.881536958,0.975350274,0.47178381
BR2-K006,BR2-K012,0.875238974,0.456912879,all,22495,0.882292851,0.950492326,0.466323929
BR2-K006,BR2-K012,0.875238974,0.456912879,all,22495,0.882292851,0.950492326,0.466323929
BR2-K006,BR2-K014,0.873244586,0.469819725,all,26791,0.873244586,0.952987161,0.469819725
BR2-K006,BR2-K014,0.873244586,0.469819725,all,26791,0.873244586,0.952987161,0.469819725
BR2-K006,BR2-K017,0.865987801,0.178223204,all,10163,0.865987801,0.991392555,0.178223204
BR2-K006,BR2-K017,0.865987801,0.178223204,all,10163,0.865987801,0.991392555,0.178223204
BR2-K006,BR2-K002,0.860052249,0.365863496,all,20863,0.860052249,1.00311982,0.365863496
BR2-K006,BR2-K002,0.860052249,0.365863496,all,20863,0.860052249,1.00311982,0.365863496
BR2-K006,BR2-K004,0.859287406,0.391536897,all,22327,0.859287406,0.967089443,0.391536897
BR2-K006,BR2-K004,0.859287406,0.391536897,all,22327,0.859287406,0.967089443,0.391536897
BR2-K006,BR2-K016,0.856145707,0.36246142,all,20669,0.856145707,1.073882536,0.36246142
BR2-K006,BR2-K016,0.856145707,0.36246142,all,20669,0.856145707,1.073882536,0.36246142
BR2-K007,BR2-K006,0.823968816,0.238864338,all,13621,0.823968816,1.036572986,0.238864338
BR2-K007,BR2-K006,0.823968816,0.238864338,all,13621,0.823968816,1.036572986,0.238864338
BR2-K007,BR2-K011,0.821782248,0.270868406,all,15446,0.821782248,1.061679171,0.270868406
BR2-K007,BR2-K011,0.821782248,0.270868406,all,15446,0.821782248,1.061679171,0.270868406
BR2-K007,BR2-K009,0.81600176,0.296647026,all,16916,0.81600176,1.007226286,0.296647026
BR2-K007,BR2-K009,0.81600176,0.296647026,all,16916,0.81600176,1.007226286,0.296647026
BR2-K007,BR2-K015,0.815946322,0.397797419,all,22684,0.815946322,0.958465952,0.397797419
BR2-K007,BR2-K015,0.815946322,0.397797419,all,22684,0.815946322,0.958465952,0.397797419
BR2-K007,BR2-K005,0.79674294,0.371825898,all,21203,0.79674294,0.987489879,0.371825898
BR2-K007,BR2-K005,0.79674294,0.371825898,all,21203,0.79674294,0.987489879,0.371825898
BR2-K007,BR2-K003,0.792737513,0.361830107,all,15444,0.778694158,0.966656044,0.352804112
BR2-K007,BR2-K003,0.792737513,0.361830107,all,15444,0.778694158,0.966656044,0.352804112
BR2-K007,BR2-K002,0.784636312,0.391063412,all,22300,0.784636312,1.03774515,0.391063412
BR2-K007,BR2-K002,0.784636312,0.391063412,all,22300,0.784636312,1.03774515,0.391063412
BR2-K007,BR2-K014,0.782420963,0.268641274,all,15319,0.782420963,0.96179478,0.268641274
BR2-K007,BR2-K014,0.782420963,0.268641274,all,15319,0.782420963,0.96179478,0.268641274
BR2-K007,BR2-K012,0.781714857,0.345223064,all,16767,0.781955084,0.983519525,0.347581832
BR2-K007,BR2-K012,0.781714857,0.345223064,all,16767,0.781955084,0.983519525,0.347581832
BR2-K007,BR2-K013,0.781570732,0.346117424,all,19737,0.781570732,1.002026272,0.346117424
BR2-K007,BR2-K013,0.781570732,0.346117424,all,19737,0.781570732,1.002026272,0.346117424
BR2-K008,BR2-K009,0.815384478,0.384767817,all,17376,0.921409169,0.982131525,0.43879896
BR2-K008,BR2-K009,0.815384478,0.384767817,all,17376,0.921409169,0.982131525,0.43879896
BR2-K008,BR2-K017,0.802992778,0.22362514,all,10288,0.867892656,1.024346491,0.259804541
BR2-K008,BR2-K017,0.802992778,0.22362514,all,10288,0.867892656,1.024346491,0.259804541
BR2-K008,BR2-K006,0.761642268,0.450143799,all,19912,0.928151821,1.003550887,0.502840981
BR2-K008,BR2-K006,0.761642268,0.450143799,all,19912,0.928151821,1.003550887,0.502840981
BR2-K008,BR2-K011,0.757494187,0.176907969,all,8327,0.860482112,1.057119261,0.210283088
BR2-K008,BR2-K011,0.757494187,0.176907969,all,8327,0.860482112,1.057119261,0.210283088
BR2-K008,BR2-K014,0.752457336,0.54443743,all,24161,0.865488931,0.996153059,0.61014167
BR2-K008,BR2-K014,0.752457336,0.54443743,all,24161,0.865488931,0.996153059,0.61014167
BR2-K008,BR2-K015,0.747746867,0.541508838,all,23763,0.857388628,0.956010813,0.600090911
BR2-K008,BR2-K015,0.747746867,0.541508838,all,23763,0.857388628,0.956010813,0.600090911
BR2-K008,BR2-K013,0.745846608,0.413948513,all,18130,0.875650237,0.99464204,0.457839844
BR2-K008,BR2-K013,0.745846608,0.413948513,all,18130,0.875650237,0.99464204,0.457839844
BR2-K008,BR2-K005,0.737086929,0.472502806,all,21376,0.878379907,0.969501385,0.539811611
BR2-K008,BR2-K005,0.737086929,0.472502806,all,21376,0.878379907,0.969501385,0.539811611
BR2-K008,BR2-K002,0.73423526,0.376630892,all,16156,0.863290021,1.002210902,0.407990101
BR2-K008,BR2-K002,0.73423526,0.376630892,all,16156,0.863290021,1.002210902,0.407990101
BR2-K008,BR2-K004,0.729102625,0.38664422,all,16875,0.857132839,0.962923316,0.426147125
BR2-K008,BR2-K004,0.729102625,0.38664422,all,16875,0.857132839,0.962923316,0.426147125
BR2-K009,BR2-K015,0.90856103,0.508329826,all,28987,0.90856103,0.96427647,0.508329826
BR2-K009,BR2-K015,0.90856103,0.508329826,all,28987,0.90856103,0.96427647,0.508329826
